,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
20050123,26311.204,24618.859,23564.595,22994.068,22811.089,23069.187,23985.98,25131.467,26838.87,29513.36,31075.114,31535.955,30802.92,29051.814,28596.867,28471.303,28891.744,32313.972,34118.903,34332.073,33802.811,32305.447,30150.921,27549.474
20050124,25492.253,24112.132,23543.793,23417.897,23900.828,25773.04,31506.95,39227.966,45032.207,47076.866,47067.277,46715.517,43344.81,43228.068,44901.111,45601.731,46704.509,48458.584,47418.002,44681.718,42247.086,39134.283,35406.858,32196.17
20050125,29971.676,28273.38,27478.807,27242.068,27520.433,28966.555,33852.727,41307.329,46789.75,48537.491,47825.86,47216.014,44013.059,43430.813,45274.668,46062.541,47316.014,48979.389,48082.619,45622.72,43151.956,39931.414,36129.065,32704.497
20050126,30204.133,28553.436,27734.863,27484.463,27534.144,29017.877,33946.199,41273.15,46470.98,48345.571,48477.737,48045.581,44656.015,44166.416,45398.205,46164.471,47145.543,49196.342,48739.637,46296.013,43607.291,40397.012,36661.616,33255.062
20050127,30017.857,28222.163,27407.962,27224.337,27487.003,28769.995,33552.833,41268.979,46843.71,48759.397,48722.136,48189.146,44612.337,44242.063,45612.595,46456.325,47385.566,49133.415,48683.352,46389.426,43655.769,40591.974,36705.503,33221.246
20050128,30033.098,28264.392,27491.288,27279.727,27533.686,28889.758,33707.885,41223.024,46729.14,48775.455,48809.056,48524.468,44991.643,44378.456,45757.091,46589.676,47437.867,48993.119,48429.476,46109.95,43427.351,40200.635,36335.62,32898.779
20050129,30220.388,28479.544,27457.234,26928.666,26751.56,27303.334,29847.565,34267.265,37903.76,40406.54,40802.008,39704.376,36710.562,34438.913,33836.014,33877.1,34518.774,37726.351,39662.238,39303.818,37254.373,34833.963,32236.747,29545.516
20050130,27583.029,25812.523,24711.75,24115.147,23865.141,24096.431,24965.776,26246.143,28106.576,31137.317,32762.907,33183.999,32535.328,30741.342,30153.83,29951.587,30349.586,33545.055,35614.724,35847.837,35213.201,33751.681,31506.94,28833.067
20050131,25733.595,24243.442,23579.801,23467.819,23889.66,25743.831,31627.809,39420.173,45326.186,47486.739,47598.082,47228.51,43897.897,43906.581,45587.634,46335.441,47335.351,48944.036,47909.458,45571.724,42989.131,39728.303,35938.002,32542.512
20050201,30540.641,28726.112,27916.733,27665.939,27844.17,29334.496,34401.744,41415.903,47210.44,49068.969,49289.503,48953.749,45465.015,45186.966,46595.26,47178.648,47602.454,48498.258,49236.434,47218.9,44650.207,41054.007,37022.019,33507.377
20050202,30899.696,28979.168,28150.626,27898.667,28159.406,29677.01,34637.767,41501.569,47331.488,49524.622,49503.063,49148.652,45506.472,44922.915,46436.418,46937.416,47480.895,48489.693,49621.171,47767.163,44597.492,41175.805,37214.337,33690.749
