Date,Passengers
2010-02-01,2030127
2010-03-01,2145529
2010-04-01,2062773
2010-05-01,1886099
2010-06-01,2095679
2010-07-01,2401136
2010-08-01,2213745
2010-09-01,2316363
2010-10-01,2373199
2010-11-01,2205642
2010-12-01,2577354
2011-01-01,2709123
2011-02-01,2120226
2011-03-01,2111623
2011-04-01,2285449
2011-05-01,2079485
2011-06-01,2155944
2011-07-01,2531894
2011-08-01,2308924
2011-09-01,2401935
2011-10-01,2476335
2011-11-01,2302972
2011-12-01,2671099
2012-01-01,2803526
2012-02-01,2220767
2012-03-01,2325361
2012-04-01,2379244
2012-05-01,2099103
2012-06-01,2361188
2012-07-01,2595183
2012-08-01,2418677
2012-09-01,2532916
2012-10-01,2572716
2012-11-01,2450674
2012-12-01,2849637
2013-01-01,2887496
2013-02-01,2313309
2013-03-01,2497251
2013-04-01,2449934
2013-05-01,2274189
2013-06-01,2467916
2013-07-01,2795406
2013-08-01,2644290
2013-09-01,2680985
2013-10-01,2709608
2013-11-01,2553483
2013-12-01,3070649
